(0.18, 18, 6702)
(0.03, 24, 1468)
(0.13, 16, 1076)
(0.25, 11, 11186)
(0.21, 24, 20123)
(0.08, 11, 686)
(0.14, 22, 2576)
(0.1, 20, 833)
(0.07, 16, 449)
(0.1, 18, 1575)
(0.04, 23, 1199)
(0.22, 22, 16342)
(0.2, 22, 10109)
(0.26, 24, 50000)
(0.21, 7, 2404)
(0.2, 14, 4392)
(0.0, 11, 14258)
(0.0, 2, 4660)
(0.24, 14, 13504)
(0.07, 11, 853)
(0.06, 22, 1064)
(0.05, 19, 655)
(0.04, 10, 315)
(0.04, 6, 418)
(0.13, 4, 184)
(0.01, 19, 1181)
(0.13, 24, 2216)
(0.01, 7, 746)
(0.22, 4, 1674)
(0.23, 5, 1874)
(0.16, 7, 1004)
(0.01, 16, 1298)
(0.27, 13, 17605)
(0.05, 11, 848)
(0.07, 19, 914)
(0.03, 4, 240)
(0.04, 19, 713)
(0.08, 16, 1232)
(0.17, 20, 3315)
(0.07, 23, 745)
(0.3, 19, 48565)
(0.03, 6, 365)
(0.08, 24, 1100)
(0.16, 18, 6313)
(0.02, 14, 791)
(0.16, 21, 3771)
(0.08, 5, 330)
(0.05, 6, 316)
(0.1, 25, 1860)
(0.29, 20, 50000)
(0.2, 18, 4289)
(0.07, 18, 689)
(0.26, 24, 29156)
(0.1, 16, 1628)
(0.03, 5, 315)
(0.1, 19, 3426)
(0.19, 14, 4748)
(0.17, 21, 5719)
(0.17, 6, 1229)
(0.15, 12, 1674)
(0.01, 16, 1328)
(0.26, 19, 21998)
(0.22, 2, 303)
(0.21, 8, 2500)
(0.23, 16, 6977)
(0.21, 9, 1416)
(0.13, 13, 1511)
(0.09, 8, 462)
(0.0, 3, 5080)
(0.09, 13, 855)
(0.03, 1, 422)
(0.24, 2, 384)
(0.16, 22, 4767)
(0.04, 15, 550)
(0.1, 25, 2151)
(0.16, 3, 301)
(0.01, 7, 494)
(0.11, 21, 1036)
(0.07, 6, 188)
(0.2, 12, 5907)
(0.25, 4, 1220)
(0.16, 16, 2570)
(0.17, 23, 7614)
(0.15, 15, 1780)
(0.27, 13, 23049)
(0.05, 17, 752)
(0.0, 16, 8872)
(0.18, 22, 4116)
(0.18, 21, 7204)
(0.23, 5, 1046)
(0.01, 15, 1004)
(0.17, 8, 981)
(0.05, 8, 185)
(0.05, 23, 678)
(0.22, 12, 5997)
(0.19, 8, 1885)
(0.02, 23, 973)
(0.07, 2, 181)
(0.22, 11, 8430)
(0.02, 23, 1090)
(0.2, 16, 5624)
(0.24, 16, 20664)
(0.09, 22, 2277)
(0.12, 7, 666)
(0.08, 22, 1219)
(0.08, 22, 848)
(0.13, 10, 1560)
(0.11, 10, 1040)
(0.07, 16, 1098)
(0.17, 2, 200)
(0.03, 21, 1391)
(0.0, 19, 20507)
(0.14, 4, 528)
(0.28, 22, 48438)
(0.29, 7, 6941)
(0.28, 23, 50000)
(0.18, 2, 323)
(0.15, 8, 2476)
(0.28, 20, 50000)
(0.26, 25, 38621)
(0.23, 3, 704)
(0.24, 14, 18871)
(0.14, 25, 2143)
(0.22, 14, 7323)
(0.01, 4, 613)
(0.2, 5, 1567)
(0.18, 23, 4040)
(0.28, 23, 43248)
(0.14, 4, 359)
(0.06, 9, 308)
(0.29, 17, 38970)
(0.17, 7, 2143)
(0.07, 21, 1109)
